,country,industry,marketcap,price,sector,avgvol
3118,USA,Home Furnishings & Fixtures,73,2.4,Consumer Goods,770
126,USA,Drugs - Generic,1848,45.65,Healthcare,760
191,USA,Publishing - Periodicals,31013,43.59,Services,760
1296,USA,Sporting Goods Stores,387,20.4,Services,760
2160,USA,Biotechnology,1044,9.88,Healthcare,760
2454,USA,Biotechnology,400,7.1,Healthcare,760
2505,Bermuda,Property & Casualty Insurance,567,6.6,Financial,760
2921,USA,Medical Appliances & Equipment,7,3.46,Healthcare,760
3330,Canada,Biotechnology,93,1.42,Healthcare,760
801,USA,Semiconductor Equipment & Materials,901,28.7,Technology,750
1317,USA,Technical & System Software,1438,20.11,Technology,750
2408,USA,Gaming Activities,515,7.54,Services,750
3474,USA,Property & Casualty Insurance,179,0.85,Financial,750
3527,Canada,Industrial Metals & Minerals,318,0.55,Basic Materials,750
3534,USA,Biotechnology,55,0.5,Healthcare,750
194,Canada,Real Estate Development,43069,43.54,Financial,740
413,Israel,Semiconductor - Specialized,1611,37.55,Technology,740
469,USA,Asset Management,3632,36.08,Financial,740
773,USA,Healthcare Information Services,4068,29.19,Technology,740
1571,USA,Business Services,1423,16.95,Services,740
1676,USA,Biotechnology,1435,15.64,Healthcare,740
1996,USA,Marketing Services,1040,11.75,Services,740
2516,China,Internet Information Providers,470,6.49,Technology,740
2780,China,Beverages - Soft Drinks,17,4.17,Consumer Goods,740
2880,USA,Internet Software & Services,227,3.7,Technology,740
